set TITOLI := T1 T2 T3 T4 T5 T6 T7 T8;

# Set dei periodi storici
set PERIODI := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31;

# Prezzi odierni
param prezzo_attuale :=
T1 219
T2 247
T3 215
T4 182
T5 126
T6 248
T7 215
T8 182;

# Prezzi storici
param prezzi_storici: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 :=
T1  109 112 120 122 127 133 139 145 147 148 145 143 152 149 152 159 153 147 151 150 164 180 184 187 189 192 198 198 200 209 219
T2   93 101 107 108 117 114 120 134 141 148 161 162 164 153 160 163 160 171 183 188 205 217 229 226 221 231 231 248 236 238 247
T3   96  97  91  96  98 101 108 103 113 127 132 143 147 141 153 158 155 162 172 164 168 164 167 179 180 181 195 202 212 220 215
T4   94  95 101 103 106 110 118 121 123 128 128 126 132 132 140 141 136 134 135 138 141 146 149 155 162 160 171 174 174 179 182
T5   99 109 104 113 110 116 110 106 113 114 110 117 110 121 122 116 128 124 124 123 118 113 112 113 116 121 115 120 117 125 126
T6  104 106 107 110 110 112 112 114 112 122 128 135 137 146 143 153 159 173 181 182 194 209 207 218 225 231 237 231 246 250 248
T7  104 101  95 100 101 111 111 106 113 110 108 115 122 125 124 137 141 143 152 147 160 167 176 182 185 184 188 187 207 205 215
T8   95  96  94  97 101 106 111 112 121 120 127 128 130 131 141 140 141 150 156 162 161 153 164 168 175 168 175 188 187 177 182;

# Budget totale
param budget_totale := 1000000;
